@relation farmacia_ventas-weka.filters.unsupervised.attribute.DateToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.DateToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute precio numeric
@attribute cantidad numeric
@attribute precioUnitario numeric
@attribute nivelDemanda {baja,media,alta}

@data
41234,28,40012.34,baja
13234,112,14012.34,media
48678,193,49678.90,alta
24678,73,25456.78,media
18890,31,19890.12,baja
37456,141,38567.89,alta
21456,98,22345.67,media
16890,48,17678.90,baja
36012,135,37234.56,media
10456,170,11123.45,alta
44678,67,45567.89,media
29456,16,28345.67,baja
39012,153,40123.45,alta
23890,90,24678.90,media
18012,39,18789.01,baja
33234,134,34456.78,media
7012,181,7789.01,alta
31890,79,32678.90,media
42890,27,41456.78,baja
15456,111,16345.67,media
47456,184,48345.67,alta
22012,85,22890.12,media
17234,35,18123.45,baja
37678,140,38789.01,alta
20012,96,20890.12,media
43234,44,42234.56,baja
27890,129,28789.01,media
9012,175,9789.01,alta
39890,71,40678.90,media
24456,15,23345.67,baja
46456,155,47234.56,alta
31234,92,32234.56,media
20890,41,21678.90,baja
35456,126,36456.78,media
11890,168,12678.90,alta
45234,69,46123.45,media
30012,17,29123.45,baja
38234,152,39345.67,alta
23234,89,24012.34,media
17890,37,18567.89,baja
36456,137,37678.90,media
10890,173,11567.89,alta
44012,75,45123.45,media
28456,23,27456.78,baja
40678,119,41567.89,media
14678,164,15678.90,alta
48012,62,49234.56,media
25234,8,24123.45,baja
46678,159,47456.78,alta
32678,86,33567.89,media
21678,46,22567.89,baja
35678,132,36789.01,media
9234,180,10012.34,alta
30890,77,31567.89,media
42456,26,41234.56,baja
13678,107,14456.78,media
48234,188,49123.45,alta
24012,84,24789.01,media
19234,32,20012.34,baja
34234,139,35234.56,media
8456,176,9123.45,alta
28012,91,28890.12,media
39456,34,38456.78,baja
12456,114,13234.56,media
47678,186,48567.89,alta
22890,80,23678.90,media
18123,28,18890.12,baja
37012,146,38123.45,alta
21012,99,21789.01,media
16456,53,17345.67,baja
36890,123,37890.12,media
10234,166,11012.34,alta
43567,55,44234.56,media
29890,6,28567.89,baja
38012,147,39123.45,alta
24567,97,25456.78,media
17234,29,18012.34,baja
35456,120,36567.89,media
8890,163,9678.90,alta
31678,74,32456.78,media
41234,22,40123.45,baja
14567,104,15345.67,media
47890,179,48678.90,alta
23890,68,24567.89,media
19567,14,20234.56,baja
34678,142,35678.90,alta
11456,86,12345.67,media
45678,35,44567.89,baja
30123,125,31234.56,media
9678,170,10456.78,alta
40567,61,41345.67,media
26234,9,25123.45,baja
46890,154,47678.90,alta
22567,92,23456.78,media
18345,47,19234.56,baja
37890,133,38789.01,media
13234,177,14123.45,alta
44567,71,45456.78,media
29234,20,28234.56,baja
39567,149,40456.78,alta
25890,83,26678.90,media
21234,37,22123.45,baja
36567,128,37456.78,media
10890,172,11678.90,alta
43890,66,44678.90,media
28567,11,27456.78,baja
38890,158,39789.01,alta
24234,89,25123.45,media
17890,43,18678.90,baja
35012,136,36012.34,media
9234,181,10123.45,alta
32567,76,33456.78,media
42345,24,41234.56,baja
15890,109,16678.90,media
48567,187,49456.78,alta
23567,79,24456.78,media
20234,32,21123.45,baja
34012,144,35123.45,media
8567,169,9456.78,alta
31234,87,32234.56,media
41678,40,40567.89,baja
14234,117,15234.56,media
47234,184,48234.56,alta
26890,72,27678.90,media
19890,18,20567.89,baja
37234,151,38234.56,alta
12890,94,13678.90,media
45234,49,44234.56,baja
30890,131,31789.01,media
10567,175,11456.78,alta
44234,64,45234.56,media
29567,7,28345.67,baja
39234,155,40234.56,alta
25567,91,26567.89,media
22345,45,23234.56,baja
36890,126,37789.01,media
9890,173,10678.90,alta
33234,78,34234.56,media
42678,26,41567.89,baja
16567,113,17456.78,media
48890,189,49678.90,alta
24890,81,25678.90,media
21567,36,22456.78,baja
35678,140,36678.90,media
11234,167,12234.56,alta
46234,69,47234.56,media
30567,15,29456.78,baja
40234,150,41234.56,alta
27567,85,28456.78,media
18567,41,19456.78,baja
37567,134,38567.89,media
14890,178,15678.90,alta
45567,73,46456.78,media
31890,21,30678.90,baja
43234,146,44234.56,alta
28890,88,29678.90,media
23234,44,24234.56,baja
36234,129,37234.56,media
10123,171,11123.45,alta
42234,65,43234.56,media
29123,10,28123.45,baja
39890,157,40789.01,alta
26123,93,27123.45,media
20890,48,21678.90,baja
35890,137,36789.01,media
9456,182,10345.67,alta
33890,77,34678.90,media
41012,28,40012.34,baja
15567,115,16456.78,media
47567,185,48456.78,alta
24567,80,25456.78,media
19234,34,20234.56,baja
34890,143,35789.01,media
12567,168,13456.78,alta
46567,70,47456.78,media
31567,16,30567.89,baja
40890,152,41678.90,alta
27234,90,28234.56,media
22890,46,23678.90,baja
37890,135,38678.90,media
11567,180,12456.78,alta
45890,75,46678.90,media
30234,23,29234.56,baja
39456,148,40456.78,alta
26567,84,27456.78,media
21890,39,22678.90,baja
36678,132,37567.89,media
10345,174,11234.56,alta
44890,67,45678.90,media
29678,13,28567.89,baja
38567,159,39456.78,alta
25234,95,26234.56,media
19678,50,20456.78,baja
35234,138,36234.56,media
9678,183,10567.89,alta
33567,82,34456.78,media
42890,31,41678.90,baja
16234,118,17234.56,media
48234,190,49234.56,alta
24678,74,25567.89,media
21234,19,22234.56,baja
35567,145,36456.78,alta
13890,87,14678.90,media
46890,42,47678.90,baja
31012,130,32012.34,media
10678,176,11567.89,alta
43678,63,44567.89,media
28234,8,27234.56,baja
39012,156,40012.34,alta
26234,96,27234.56,media
23012,51,23890.12,baja
37012,141,38012.34,media
12234,170,13234.56,alta
45456,71,46345.67,media
30678,17,29567.89,baja
41567,153,42456.78,alta
27890,89,28678.90,media
20567,38,21456.78,baja
36012,127,37012.34,media
9012,179,10012.34,alta
34567,76,35456.78,media
43890,25,42678.90,baja
17567,111,18456.78,media
48678,186,49567.89,alta
25890,83,26678.90,media
22678,33,23567.89,baja
37678,139,38567.89,media
14012,164,15012.34,alta
47012,68,47890.12,media
32234,12,31234.56,baja
40567,151,41456.78,alta
28567,92,29456.78,media
21678,47,22567.89,baja
36456,133,37345.67,media
11890,177,12678.90,alta
45012,72,45890.12,media
30890,20,29678.90,baja
39678,147,40567.89,alta
26890,86,27678.90,media
24012,40,24890.12,baja
35345,124,36234.56,media
10456,172,11345.67,alta
44012,64,44890.12,media
29345,9,28234.56,baja
38234,154,39234.56,alta
25678,94,26567.89,media
20012,52,20890.12,baja
34234,136,35234.56,media
9890,181,10678.90,alta
33678,79,34567.89,media
42567,27,41456.78,baja
16890,116,17678.90,media
48012,188,48890.12,alta
24345,81,25234.56,media
19012,35,19890.12,baja
37345,142,38234.56,media
13567,166,14456.78,alta
46678,70,47567.89,media
31678,14,30567.89,baja
41234,149,42123.45,alta
28012,88,28890.12,media
23678,43,24567.89,baja
36890,131,37678.90,media
12012,175,12890.12,alta
45678,66,46567.89,media
30234,11,29234.56,baja
40123,158,41012.34,alta
27678,93,28567.89,media
22234,48,23234.56,baja
35890,140,36678.90,media
11012,183,11890.12,alta
44456,78,45345.67,media
29012,22,28012.34,baja
39345,146,40234.56,alta
26345,84,27234.56,media
18678,37,19567.89,baja
34678,125,35567.89,media
8234,169,9234.56,alta
32012,62,32890.12,media
41890,5,40678.90,baja
15234,106,16234.56,media
47890,191,48678.90,alta
23890,75,24678.90,media
20678,26,21567.89,baja
36234,138,37234.56,media
10890,173,11678.90,alta
43456,59,44345.67,media
28890,18,27678.90,baja
39890,161,40678.90,alta
25012,97,26012.34,media
21345,44,22234.56,baja
35678,134,36567.89,media
9567,178,10456.78,alta
33012,71,33890.12,media
42234,23,41234.56,baja
16678,112,17567.89,media
48456,187,49345.67,alta
24890,82,25678.90,media
19345,33,20234.56,baja
37234,145,38123.45,media
13678,167,14567.89,alta
46234,68,47234.56,media
31234,12,30234.56,baja
40678,150,41567.89,alta
27345,89,28234.56,media
23456,46,24345.67,baja
36567,129,37456.78,media
11678,174,12567.89,alta
45234,65,46123.45,media
30456,8,29345.67,baja
39567,156,40456.78,alta
26678,95,27567.89,media
22567,49,23456.78,baja
35012,137,36012.34,media
10234,182,11123.45,alta
44678,77,45567.89,media
29567,21,28456.78,baja
38890,148,39678.90,alta
25678,85,26567.89,media
20890,38,21678.90,baja
34890,132,35678.90,media
9234,176,10234.56,alta
32678,73,33567.89,media
41567,16,40456.78,baja
15890,110,16678.90,media
47234,189,48234.56,alta
24234,79,25234.56,media
19567,30,20456.78,baja
37890,143,38678.90,media
13234,165,14234.56,alta
46890,67,47678.90,media
31890,10,30678.90,baja
40234,152,41234.56,alta
28234,91,29234.56,media
23890,45,24678.90,baja
36890,128,37678.90,media
12234,172,13234.56,alta
45890,63,46678.90,media
30890,14,29678.90,baja
39234,158,40234.56,alta
27012,93,27890.12,media
22890,50,23678.90,baja
35234,136,36234.56,media
11234,180,12234.56,alta
44234,75,45234.56,media
29890,19,28678.90,baja
38456,147,39345.67,alta
26234,87,27234.56,media
21567,41,22456.78,baja
34567,130,35456.78,media
10012,175,10890.12,alta
43678,69,44567.89,media
28678,13,27567.89,baja
39678,154,40567.89,alta
25890,96,26678.90,media
23234,48,24234.56,baja
37678,135,38567.89,media
14890,168,15678.90,alta
47678,66,48567.89,media
32890,9,31678.90,baja
41234,151,42123.45,alta
27890,88,28678.90,media
22234,42,23234.56,baja
36012,127,37012.34,media
11890,173,12678.90,alta
45678,72,46567.89,media
31012,17,30012.34,baja
40890,149,41678.90,alta
26890,84,27678.90,media
21890,36,22678.90,baja
35890,133,36678.90,media
10678,179,11567.89,alta
44890,74,45678.90,media
30234,20,29234.56,baja
39012,146,40012.34,alta
25234,86,26234.56,media
20234,39,21234.56,baja
34234,131,35234.56,media
9890,177,10678.90,alta
33890,76,34678.90,media
42890,22,41678.90,baja
17234,114,18234.56,media
48890,192,49678.90,alta
24678,81,25567.89,media
19890,34,20678.90,baja
38234,144,39234.56,media
13890,170,14678.90,alta
46456,70,47345.67,media
32234,11,31234.56,baja
41678,153,42567.89,alta
28456,92,29345.67,media
23678,47,24567.89,baja
37456,139,38345.67,media
12890,166,13678.90,alta
46012,65,46890.12,media
31456,6,30345.67,baja
40456,157,41345.67,alta
27678,94,28567.89,media
22678,51,23567.89,baja
36678,138,37567.89,media
11456,184,12345.67,alta
45456,78,46345.67,media
30678,24,29567.89,baja
39456,150,40345.67,alta
26456,90,27345.67,media
21678,43,22567.89,baja
35678,134,36567.89,media
10456,181,11345.67,alta
44456,73,45345.67,media
29678,15,28567.89,baja
38678,160,39567.89,alta
25456,98,26345.67,media
20456,52,21345.67,baja
34456,142,35345.67,media
9678,178,10567.89,alta
33678,80,34567.89,media
42678,29,41567.89,baja
16890,118,17678.90,media
48678,193,49567.89,alta
24012,85,24890.12,media
19234,37,20234.56,baja
37012,148,38012.34,media
14234,172,15234.56,alta
47012,68,47890.12,media
32456,12,31345.67,baja
41890,155,42678.90,alta
28890,95,29678.90,media
23012,49,23890.12,baja
36234,140,37234.56,media
12678,169,13567.89,alta
46678,71,47567.89,media
31678,16,30567.89,baja
40012,152,41012.34,alta
27234,89,28234.56,media
22012,44,22890.12,baja
35456,132,36345.67,media
11012,176,11890.12,alta
45012,67,45890.12,media
30012,10,29012.34,baja
39890,159,40678.90,alta
26012,93,26890.12,media
21234,46,22234.56,baja
34012,136,35012.34,media
10234,183,11234.56,alta
43890,75,44678.90,media
29234,19,28234.56,baja
38012,147,39012.34,alta
25890,87,26678.90,media
20890,40,21678.90,baja
35234,130,36234.56,media
9456,174,10345.67,alta
33234,72,34234.56,media
42456,23,41345.67,baja
17890,115,18678.90,media
48234,190,49234.56,alta
24456,83,25345.67,media
19678,35,20567.89,baja
37678,145,38567.89,media
13456,167,14345.67,alta
46890,69,47678.90,media
32678,13,31567.89,baja
41456,154,42345.67,alta
28012,91,28890.12,media
23890,48,24678.90,baja
36890,137,37678.90,media
12456,171,13345.67,alta
45890,66,46678.90,media
31890,8,30678.90,baja
40678,150,41567.89,alta
27456,88,28345.67,media
22456,42,23345.67,baja
35890,133,36678.90,media
11890,179,12678.90,alta
44012,74,44890.12,media
30890,18,29678.90,baja
39678,148,40567.89,alta
26890,86,27678.90,media
21012,39,21890.12,baja
34678,131,35567.89,media
10890,177,11678.90,alta
43234,70,44234.56,media
29012,14,28012.34,baja
38890,156,39678.90,alta
25234,94,26234.56,media
20678,50,21567.89,baja
35012,135,36012.34,media
9234,182,10234.56,alta
33012,78,33890.12,media
42234,25,41234.56,baja
16234,113,17234.56,media
48456,191,49345.67,alta
24890,82,25678.90,media
19012,36,19890.12,baja
37890,143,38678.90,media
14678,168,15567.89,alta
47890,67,48678.90,media
32890,11,31678.90,baja
41234,152,42123.45,alta
28234,90,29234.56,media
23456,45,24345.67,baja
36567,129,37456.78,media
12234,174,13234.56,alta
46234,64,47234.56,media
31234,7,30234.56,baja
40890,158,41678.90,alta
27890,92,28678.90,media
22890,47,23678.90,baja
35678,136,36567.89,media
11678,180,12567.89,alta
45234,73,46123.45,media
30456,20,29345.67,baja
39567,149,40456.78,alta
26678,85,27567.89,media
21567,38,22456.78,baja
34890,132,35678.90,media
10012,178,10890.12,alta
44678,76,45567.89,media
29567,21,28456.78,baja
38456,147,39345.67,alta
25678,88,26567.89,media
20234,41,21234.56,baja
35456,134,36345.67,media
9890,176,10678.90,alta
33890,75,34678.90,media
42890,24,41678.90,baja
17678,116,18567.89,media
48890,189,49678.90,alta
24234,80,25234.56,media
19567,33,20456.78,baja
37234,142,38234.56,media
13890,165,14678.90,alta
46456,68,47345.67,media
32234,12,31234.56,baja
41678,153,42567.89,alta
28678,93,29567.89,media
23678,46,24567.89,baja
37456,138,38345.67,media
12890,172,13678.90,alta
46012,71,46890.12,media
31456,15,30345.67,baja
40456,155,41345.67,alta
27678,95,28567.89,media
22678,52,23567.89,baja
36678,140,37567.89,media
11456,183,12345.67,alta
45456,77,46345.67,media
30678,22,29567.89,baja
39456,151,40345.67,alta
26456,89,27345.67,media
21678,44,22567.89,baja
35678,135,36567.89,media
10456,179,11345.67,alta
44456,72,45345.67,media
29678,17,28567.89,baja
38678,159,39567.89,alta
25456,97,26345.67,media
20456,53,21345.67,baja
34456,141,35345.67,media
9678,177,10567.89,alta
33678,79,34567.89,media
42678,28,41567.89,baja
16678,117,17567.89,media
48678,192,49567.89,alta
24012,84,24890.12,media
19890,38,20678.90,baja
37012,147,38012.34,media
14012,171,15012.34,alta
47012,69,47890.12,media
32012,13,31012.34,baja
41012,154,42012.34,alta
28012,94,28890.12,media
23012,50,23890.12,baja
36012,139,37012.34,media
12012,170,12890.12,alta
46012,70,46890.12,media
31012,14,30012.34,baja
40234,156,41234.56,alta
27012,91,27890.12,media
22234,45,23234.56,baja
35234,133,36234.56,media
11234,175,12234.56,alta
45678,66,46567.89,media
30234,9,29234.56,baja
39890,158,40678.90,alta
26234,92,27234.56,media
21890,47,22678.90,baja
34890,137,35678.90,media
10678,182,11567.89,alta
43890,74,44678.90,media
29890,18,28678.90,baja
38890,146,39678.90,alta
25890,86,26678.90,media
20890,39,21678.90,baja
35890,131,36678.90,media
9012,176,10012.34,alta
33012,73,33890.12,media
42012,22,41012.34,baja
17012,114,18012.34,media
48012,191,49012.34,alta
24678,81,25567.89,media
19234,34,20234.56,baja
37890,144,38678.90,media
13234,169,14234.56,alta
47890,68,48678.90,media
32890,10,31678.90,baja
41890,152,42678.90,alta
28890,89,29678.90,media
23890,46,24678.90,baja
36890,128,37678.90,media
12678,173,13567.89,alta
45890,65,46678.90,media
31890,6,30678.90,baja
40890,157,41678.90,alta
27890,93,28678.90,media
22890,51,23678.90,baja
35012,136,36012.34,media
11012,181,11890.12,alta
44890,75,45678.90,media
30012,19,29012.34,baja
39012,149,40012.34,alta
26012,87,26890.12,media
21234,40,22234.56,baja
34234,132,35234.56,media
10234,178,11234.56,alta
43234,71,44234.56,media
29234,13,28234.56,baja
38234,155,39234.56,alta
25234,95,26234.56,media
20234,49,21234.56,baja
35890,134,36678.90,media
9890,180,10678.90,alta
33890,77,34678.90,media
42890,26,41678.90,baja
16890,115,17678.90,media
48890,190,49678.90,alta
24890,83,25678.90,media
19678,35,20567.89,baja
37678,145,38567.89,media
14890,167,15678.90,alta
47678,67,48567.89,media
32678,11,31567.89,baja
41678,153,42567.89,alta
28678,91,29567.89,media
23678,48,24567.89,baja
36678,138,37567.89,media
12456,172,13345.67,alta
46678,69,47567.89,media
31678,16,30567.89,baja
40678,150,41567.89,alta
27678,88,28567.89,media
22678,42,23567.89,baja
35678,133,36567.89,media
11678,179,12567.89,alta
45678,74,46567.89,media
30678,18,29567.89,baja
39678,148,40567.89,alta
26678,86,27567.89,media
21678,39,22567.89,baja
34678,131,35567.89,media
10678,177,11567.89,alta
44678,70,45567.89,media
